Object,Close-Approach (CA) Date,CA Distance Minimum (au),V relative (m/s),Estimated Diameter(meters),Mass(Kg),Force(joules),Megatons(TNT),Damage,Extinction
(2016 AJ193),2021,0.021419999999999998,26180.0,521,1332859271468.1216,1.7447127863517712e+16,0.2407273009549201,Entirety of Paris destroyed,0
(2011 UC292),2021,0.01754,8780.0,100,9424777960.77,41374775247780.31,101.51112543445957,Mount Krakatoa comparable,0
(2017 RK15),2021,0.01654,11580.0,24,130288130.52968448,754368275766.8732,5567.572411141466,Major extinction event,1
(2017 SL16),2021,0.02465,6110.0,23,114671273.4486886,350320740385.74365,11989.013255039696,Major extinction event,1
(1998 SD9),2021,0.02715,10820.0,48,1042305044.237476,5638870289324.745,744.8300429877329,Minor extiction event,0
(1996 VB3),2021,0.02249,15320.0,130,20706237179.811687,158609776797357.53,26.48008265824615,Entirety of Paris destroyed,0
(2017 SJ20),2021,0.04005,15380.0,112,13241134450.868671,101824323927180.08,41.24751177335232,Entirety of Paris destroyed,0
(2017 TS3),2021,0.03387,9880.0,130,20706237179.811687,102288811668269.72,41.06020914213878,Entirety of Paris destroyed,0
(2005 VL1),2021,0.04362,5230.0,17,46303934.12126301,121084787727.10275,34686.43814667977,Major extinction event,1
(2004 UE),2021,0.02096,13210.0,210,87282868694.69098,576503347728433.9,7.2853002789125885,Entirety of Paris destroyed,0
(2016 VR),2021,0.01765,8750.0,19,64644552.03292143,282819915144.03125,14850.439361248917,Major extinction event,1
(2010 VK139),2021,0.013,13940.0,62,2246188481.8343925,15655933718385.715,268.2688925201366,Minor extiction event,0
3361 Orpheus (1982 HR),2021,0.038560000000000004,8140.000000000001,510,1250206221274.1008,5088339320585591.0,0.8254166507741161,Entirety of Paris destroyed,0
(2014 WF201),2021,0.02648,5460.0,25,147262155.63703126,402025684889.09534,10447.093700390391,Major extinction event,1
(2009 WB105),2021,0.03868,18890.0,67,2834624493.815068,26773028344083.32,156.87429699853791,Mount Krakatoa comparable,0
(1994 WR12),2021,0.04112,8820.0,118,15485211782.439856,68289783960559.77,61.50261073348361,Mount Krakatoa comparable,0
4660 Nereus (1982 DB),2021,0.0263,6580.0,394,576447543618.1282,1896512418503640.8,2.214591351483912,Entirety of Paris destroyed,0
(2004 YC),2021,0.00818,8170.0,25,147262155.63703126,601565905777.2727,6981.778654116466,Major extinction event,1
163899 (2003 SD220),2021,0.03628,5610.0,1081,11905515623263.195,3.3394971323253264e+16,0.1257674384369211,Entirety of Paris destroyed,0
(2017 XQ60),2021,0.02508,15830.0,43,749335821.3269402,5930993025802.731,708.14448469724,Minor extiction event,0
(2016 YY10),2021,0.02025,9340.0,21,87282868.69469097,407610996804.2069,10303.941829168658,Major extinction event,1
(2016 TR54),2021,0.04322,15530.0,140,25861590724.352882,200815251974600.1,20.91474605988211,Entirety of Paris destroyed,0
(2016 AO131),2021,0.04428,4010.0,50,1178097245.09625,2362084976417.981,1778.090137285896,Continent exterminated,0
(2018 AH),2021,0.006520000000000001,12710.0,106,11225061347.724442,71335264864788.83,58.87691043077805,Mount Krakatoa comparable,0
(2014 YE15),2022,0.04916,6380.0,4995,1174566486474599.2,3.746867091853972e+18,0.0011209364776058324,Multiple city blocks,0
(2013 YD48),2022,0.03727,14760.0,100,9424777960.77,69554861350482.6,60.3839892489536,Mount Krakatoa comparable,0
7482 (1994 PC1),2022,0.01324,19560.0,1004,9538328288827.146,9.328485066472947e+16,0.045023387721281935,Entirety of Paris destroyed,0
